idsubsls,kecamatan,desa,nama_sls,dominan,keluarga_awal,usaha_awal,keluarga_prelist,umkm_keluarga,st2023,umk,um,usaha_lain,umk_um,usaha_final,total_usaha_final,level_geografis,is_prioritas
2105020002000600,JEMAJA TIMUR,KUALA MARAS,RT 6 RW 3 DUSUN 3,1,51,10,50,0,26,8,0,10,8,10,36,sls,TRUE
2105020002200100,JEMAJA TIMUR,KUALA MARAS,HUTAN,11,0,0,0,0,0,5,0,0,5,5,5,sls,TRUE
2105020003000100,JEMAJA TIMUR,BUKIT PADI,RT 1 RW 1 DUSUN 1,1,44,3,40,0,34,0,0,3,0,3,37,sls,TRUE
2105020003000200,JEMAJA TIMUR,BUKIT PADI,RT 2 RW 1 DUSUN 1,1,52,5,49,0,48,6,0,5,6,6,54,sls,TRUE
2105020003000300,JEMAJA TIMUR,BUKIT PADI,RT 6 RW 1 DUSUN 1,1,23,2,19,0,16,3,0,2,3,3,19,sls,TRUE
2105020003000400,JEMAJA TIMUR,BUKIT PADI,RT 3 RW 2 DUSUN 2,1,34,10,36,0,26,3,0,10,3,10,36,sls,TRUE
2105020003000500,JEMAJA TIMUR,BUKIT PADI,RT 4 RW 2 DUSUN 2,1,43,3,36,0,33,10,0,3,10,10,43,sls,TRUE
2105020003000600,JEMAJA TIMUR,BUKIT PADI,RT 5 RW 2 DUSUN 2,1,19,0,16,0,16,2,0,0,2,2,18,sls,TRUE
2105020003200100,JEMAJA TIMUR,BUKIT PADI,HUTAN,11,0,0,0,0,0,3,0,0,3,3,3,sls,TRUE
2105020004000100,JEMAJA TIMUR,GENTING PULUR,RT 1 RW 1 DUSUN 1,1,35,4,31,0,19,0,0,4,0,4,23,sls,TRUE
2105020004000200,JEMAJA TIMUR,GENTING PULUR,RT 2 RW 1 DUSUN 1,1,39,14,38,0,26,7,0,14,7,14,40,sls,TRUE
2105020004000300,JEMAJA TIMUR,GENTING PULUR,RT 3 RW 2 DUSUN 2,1,35,6,24,0,10,0,0,6,0,6,16,sls,TRUE
